N_CLIENT,N_POLICE,N_SINISTRE,DATE_ACCIDENT,AGENCE,REGLEMENTS,SAP,TRANSACTION
1099120,1401550086,758000480,2025-08-04,Djerba 2,74.53550561103039,0.0,N
1728154,1414157136,758000489,2025-08-04,Grombalia,278.2329118619965,0.0,N
1179900,1401135268,758000504,2025-08-04,Jendouba,112.24874022320463,0.0,N
1393328,1401474932,758000506,2025-08-03,Medjez El Bab,2343.8479611710513,0.0,T
1667558,1401920814,758000509,2025-08-02,Mahdia,91.81686091445884,0.0,N
1806126,1414194748,758000510,2025-08-04,Sfax 4,94.59919003307881,0.0,N
1807136,1414193556,758000511,2025-08-02,Gabès 1,182.83859399635207,0.0,N
959146,1401369354,758000513,2025-08-02,Ain Zaghouan,64.2718026401212,0.0,N
1757366,1414091316,758000516,2025-08-02,Bardo,62.22957306705413,0.0,N
1293528,1401493528,758000521,2025-08-05,Menzel Bourguiba,61.489473521501225,0.0,N
1555592,1401727368,758000525,2025-08-05,Sousse 3,40.18919838006616,0.0,N
1372712,1414135936,758000526,2025-08-06,Sousse 2,220.79914675240363,0.0,N
1157352,1400814686,758000529,2025-08-06,Sousse 2,55.8135221195165,0.0,N
1718926,1414019316,758000535,2025-08-05,Enfidha,55.6465823723993,0.0,N
1555670,1401499918,758000546,2025-08-03,Zarzis 1,179.32791294401338,0.0,N
1099386,1401755496,758000555,2025-08-07,Bizerte,55.539308127492504,0.0,N
1739286,1414136880,758000564,2025-08-07,Gabès 3,55.33248832967509,0.0,N
1737074,1414135408,758000572,2025-08-08,Soukra,55.6465823723993,0.0,N
1489938,1414100126,758000573,2025-08-06,Zarzis 1,15.160293072000496,0.0,N
1395548,1401595548,758000579,2025-08-03,Jendouba,82.0385198009089,0.0,N
1769338,1414112794,758000580,2025-08-06,Ghardimaou,77.51599839243207,0.0,N
1586112,1401773540,758000583,2025-08-07,Sfax 2,83.46987355859895,0.0,N
1560166,1401729530,758000586,2025-08-07,Sousse 3,50.42940612730702,0.0,N
1395352,1401409920,758000587,2025-08-07,El Jem,30.563576220360467,0.0,N
1811580,1414189554,758000597,2025-08-07,Soukra,48.24558691687019,0.0,N
1495794,1401591592,758000607,2025-08-06,Chebba,47.299595016539406,0.0,N
1355108,1401555108,758000611,2025-08-07,El Menzah,65.5961913005843,0.0,N
1152800,1401371536,758000614,2025-08-05,Zarzis 1,202.80087797941079,0.0,N
1741200,1414061908,758000615,2025-08-07,El Jem,111.2931647447986,0.0,N
1770134,1414116010,758000626,2025-08-06,Chebba,72.61322533774384,0.0,N
1667328,1401921372,758000627,2025-08-07,Djerba 2,105.72850650755866,0.0,N
1789614,1414153374,758000630,2025-08-06,Chebba,47.44984078894488,0.0,N
1469594,1400069594,758000638,2025-08-07,Zarzis 1,92.74430395399882,0.0,N
1074758,1400937352,758000639,2025-08-02,Medjez El Bab,98.5636998794324,0.0,N
1549390,1401709358,758000640,2025-08-07,Zarzis 1,123.65907193866511,0.0,N
1696068,1401991548,758000641,2025-08-05,Mahdia,529.4793953071382,0.0,T
1696068,1401991548,758000641,2025-08-05,Mahdia,1783.5824033140632,0.0,N
1769510,1414114938,758000642,2025-08-06,Sousse 1,3269.968776084336,0.0,N
1753932,1414071296,758000647,2025-08-05,Gabès 4,72.34055708411908,0.0,N
1534928,1414133816,758000653,2025-08-06,Djerba 1,200.9459919003308,0.0,N
1541414,1401475866,758000655,2025-08-03,Lac II,55.59124493770675,0.0,N
1733352,1414127140,758000658,2025-08-07,Mutuelleville,6035.468822456488,0.0,N
815270,1414011476,758000659,2025-08-08,Djerba 1,29.172411661050486,0.0,N
935386,1401913360,758000660,2025-08-08,Bab Benat,80.16446656567842,0.0,N
1521300,1401511156,758000664,2025-08-06,Mahdia,55.6465823723993,0.0,N
1108754,1414173554,758000671,2025-08-08,Medjez El Bab,139.11645593099826,0.0,N
1527954,1401535728,758000683,2025-08-07,Bizerte,51.89043806226235,0.0,N
1534158,1401921336,758000684,2025-08-02,Kairouan 1,149.59563483476057,0.0,N
1354720,1401373554,758000685,2025-08-07,Ain Zaghouan,55.6465823723993,0.0,N
991396,1401553374,758000689,2025-08-06,Testour,562.0215166785174,0.0,N
1073212,1401335546,758000692,2025-08-08,Medjez El Bab,22.948341422697624,0.0,N
813532,1401328800,758000693,2025-08-06,Sousse 3,63.379911583763565,0.0,N
1731096,1401889010,758000695,2025-08-08,Testour,60.28379757009924,0.0,N
1551372,1401493552,758000704,2025-08-08,La Goulette,69.30441772034501,0.0,N
1707894,1401997150,758000712,2025-08-07,Ghardimaou,83.46987355859895,0.0,N
1555312,1414152748,758000723,2025-08-05,Béja,154.57383992333138,0.0,N
1393136,1401547738,758000725,2025-08-07,Grombalia,111.2931647447986,0.0,N
1339294,1401338146,758000726,2025-08-06,Ezzahrouni,546.0611494110738,0.0,N
1313216,1401287960,758000730,2025-08-08,La Goulette,111.2931647447986,0.0,N
