Modele,ROC_AUC,Precision,Rappel,F1
Random Forest,0.6445708632605955,0.19932402314198278,0.49436965759380486,0.28405392011256486
Regression Logistique,0.6331739947165175,0.1971049631212689,0.48689931256255026,0.2806034711230834
