N_CLIENT,CLUSTER_ID,Segment_Label,CA_TOTAL,PRIME_MOYENNE,NB_CONTRATS,AGE,BONUS_MALUS_MOY,NB_SINISTRES,TOTAL_REGLEMENTS,CAPITAUX_MOY
1207006,6,Client a Risque,148.0,49.333333333333336,3,68.0,1.0,0.0,0.0,133.33333333333334
1207010,6,Client a Risque,77.0,77.0,1,51.0,1.0,0.0,0.0,0.0
1207018,2,Autres Clients,172.322,19.14688888888889,9,46.0,1.0,0.0,0.0,4226.666666666667
1207074,2,Autres Clients,3.0,3.0,1,44.0,3.0,1.0,146.4621139518348,0.0
1207080,1,Client Economique,172.25,57.416666666666664,3,58.333333333333336,4.0,0.0,0.0,333.3333333333333
1207090,2,Autres Clients,101.25,33.75,3,56.333333333333336,3.0,0.0,0.0,333.3333333333333
1207094,1,Client Economique,63.496,31.748,2,59.5,1.0,0.0,0.0,4500.0
1207100,1,Client Economique,49.0,49.0,1,63.0,1.0,0.0,0.0,0.0
1207112,1,Client Economique,119.0,59.5,2,74.5,1.0,0.0,0.0,0.0
1207126,6,Client a Risque,156.0,78.0,2,57.0,3.0,0.0,0.0,2000.0
1207132,1,Client Economique,138.075,34.51875,4,61.0,4.0,0.0,0.0,7750.0
1207134,5,Client Premium,834.98,119.28285714285714,7,61.714285714285715,7.0,0.0,0.0,2628.5714285714284
1207140,2,Autres Clients,113.0,37.666666666666664,3,51.333333333333336,1.0,1.0,61.82953596933256,1333.3333333333333
1207146,2,Autres Clients,175.0,58.333333333333336,3,50.0,1.0,0.0,0.0,0.0
1207156,2,Autres Clients,77.0,77.0,1,66.0,1.0,0.0,0.0,0.0
1207158,1,Client Economique,80.5,20.125,4,65.5,1.0,0.0,0.0,2000.0
1207172,1,Client Economique,287.25,47.875,6,53.666666666666664,1.5,0.0,0.0,166.66666666666666
1207188,1,Client Economique,38.5,38.5,1,48.0,1.0,0.0,0.0,0.0
1207208,2,Autres Clients,135.5,67.75,2,67.0,1.0,0.0,0.0,250.0
1207214,5,Client Premium,443.57,44.357,10,59.8,1.8,0.0,0.0,10340.0
1207260,1,Client Economique,104.8,104.8,1,44.0,1.0,0.0,0.0,0.0
1207266,5,Client Premium,684.25,114.04166666666667,6,60.0,2.3333333333333335,0.0,0.0,5333.333333333333
1207272,2,Autres Clients,156.0,78.0,2,59.0,3.0,0.0,0.0,2000.0
1207274,2,Autres Clients,50.5,25.25,2,65.0,1.0,0.0,0.0,0.0
1207276,2,Autres Clients,77.0,38.5,2,48.5,1.0,0.0,0.0,0.0
1207292,1,Client Economique,333.75,55.625,6,54.833333333333336,1.8333333333333333,0.0,0.0,1000.0
1207294,1,Client Economique,236.04,47.208,5,60.4,5.0,1.0,80.76544965530034,3280.0
1207310,1,Client Economique,63.0,63.0,1,45.0,3.0,0.0,0.0,0.0
1207318,1,Client Economique,102.5,25.625,4,61.75,1.0,0.0,0.0,500.0
1207320,2,Autres Clients,132.75,33.1875,4,58.75,1.0,0.0,0.0,5250.0
1207332,6,Client a Risque,98.0,98.0,1,69.0,1.0,0.0,0.0,0.0
1207334,6,Client a Risque,98.0,98.0,1,69.0,1.0,0.0,0.0,0.0
1207338,2,Autres Clients,294.538,49.089666666666666,6,49.833333333333336,1.5,0.0,0.0,5333.333333333333
1207346,5,Client Premium,548.975,42.228846153846156,13,66.23076923076923,2.3846153846153846,0.0,0.0,3846.153846153846
1207348,1,Client Economique,78.5,26.166666666666668,3,65.66666666666667,1.0,0.0,0.0,0.0
1207352,5,Client Premium,610.435,40.69566666666666,15,62.2,2.2666666666666666,0.0,0.0,2400.0
1207354,2,Autres Clients,200.75,25.09375,8,47.25,1.25,0.0,0.0,800.0
1207356,2,Autres Clients,290.0,48.333333333333336,6,62.333333333333336,2.5,0.0,0.0,166.66666666666666
1207358,7,Client Jeune Conducteur,82.25,27.416666666666668,3,42.0,4.0,0.0,0.0,333.3333333333333
1207360,6,Client a Risque,99.0,99.0,1,49.0,3.0,0.0,0.0,0.0
1207368,1,Client Economique,219.0,43.8,5,70.0,1.0,0.0,0.0,0.0
1207374,1,Client Economique,59.5,59.5,1,69.0,1.0,0.0,0.0,0.0
1207380,2,Autres Clients,59.0,19.666666666666668,3,55.0,1.0,0.0,0.0,1333.3333333333333
1207386,6,Client a Risque,119.0,119.0,1,71.0,1.0,0.0,0.0,0.0
1207388,1,Client Economique,145.25,29.05,5,60.2,1.0,0.0,0.0,200.0
1207392,1,Client Economique,164.0,41.0,4,59.5,1.0,0.0,0.0,0.0
1207396,1,Client Economique,151.5,37.875,4,54.75,1.0,0.0,0.0,7000.0
1207398,1,Client Economique,100.188,25.047,4,59.0,1.0,0.0,0.0,3125.0
1207410,1,Client Economique,89.25,22.3125,4,71.5,1.0,0.0,0.0,250.0
1207414,1,Client Economique,115.25,28.8125,4,52.5,1.0,0.0,0.0,1250.0
1207460,6,Client a Risque,112.0,112.0,1,57.0,2.0,0.0,0.0,0.0
